[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
1537: 468000, 292, 237.540, 
1540: 468800, 293, 236.769, 
1543: 469600, 293, 233.895, 
1545: 470400, 294, 228.091, 
1548: 471200, 294, 249.849, 
1551: 472000, 295, 249.932, 
1554: 472800, 295, 243.582, 
1557: 473600, 296, 243.706, 
1560: 474400, 296, 232.793, 
1562: 475200, 297, 216.942, 
1565: 476000, 297, 207.728, 
1567: 476800, 298, 201.774, 
1569: 477600, 298, 198.425, 
1572: 478400, 299, 214.701, 
1575: 479200, 299, 226.270, 
1577: 480000, 300, 217.305, 
1580: 480800, 300, 229.413, 
1582: 481600, 301, 231.186, 
1585: 482400, 301, 220.530, 
1587: 483200, 302, 235.753, 
1589: 484000, 302, 217.202, 
1592: 484800, 303, 220.747, 
1595: 485600, 303, 231.049, 
1598: 486400, 304, 219.602, 
1601: 487200, 304, 230.822, 
1604: 488000, 305, 234.308, 
1607: 488800, 305, 234.257, 
1610: 489600, 306, 261.923, 
1612: 490400, 306, 252.691, 
1615: 491200, 307, 237.119, 
1617: 492000, 307, 218.781, 
1620: 492800, 308, 221.542, 
1623: 493600, 308, 210.157, 
1625: 494400, 309, 221.290, 
1629: 495200, 309, 219.907, 
1631: 496000, 310, 203.353, 
1634: 496800, 310, 199.279, 
1636: 497600, 311, 188.727, 
1639: 498400, 311, 195.047, 
1642: 499200, 312, 240.713, 
1644: 500000, 312, 227.560, 
1647: 500800, 313, 198.482, 
1650: 501600, 313, 186.697, 
1652: 502400, 314, 161.898, 
1654: 503200, 314, 167.820, 
1657: 504000, 315, 189.724, 
1660: 504800, 315, 201.593, 
1662: 505600, 316, 229.770, 
1665: 506400, 316, 232.287, 
1668: 507200, 317, 250.667, 
1671: 508000, 317, 227.460, 
1673: 508800, 318, 245.806, 
1676: 509600, 318, 249.060, 
1679: 510400, 319, 241.710, 
1681: 511200, 319, 250.037, 
1684: 512000, 320, 237.604, 
1686: 512800, 320, 219.220, 
1689: 513600, 321, 228.084, 
1691: 514400, 321, 229.286, 
1693: 515200, 322, 218.753, 
1696: 516000, 322, 236.307, 
1698: 516800, 323, 221.670, 
1700: 517600, 323, 216.219, 
1703: 518400, 324, 235.631, 
1705: 519200, 324, 234.090, 
1708: 520000, 325, 237.602, 
1711: 520800, 325, 239.458, 
1713: 521600, 326, 223.089, 
1716: 522400, 326, 238.398, 
1719: 523200, 327, 233.408, 
1722: 524000, 327, 247.417, 
1725: 524800, 328, 242.299, 
1727: 525600, 328, 240.778, 
1730: 526400, 329, 233.832, 
1732: 527200, 329, 230.121, 
1735: 528000, 330, 207.770, 
1738: 528800, 330, 217.152, 
1741: 529600, 331, 205.886, 
1744: 530400, 331, 218.929, 
1746: 531200, 332, 234.881, 
1749: 532000, 332, 257.860, 
1752: 532800, 333, 259.231, 
1754: 533600, 333, 258.530, 
1757: 534400, 334, 252.014, 
1760: 535200, 334, 243.253, 
1762: 536000, 335, 245.218, 
1765: 536800, 335, 263.509, 
1768: 537600, 336, 272.303, 
1771: 538400, 336, 271.918, 
1774: 539200, 337, 267.364, 
1776: 540000, 337, 235.568, 
1779: 540800, 338, 237.006, 
1782: 541600, 338, 232.735, 
1784: 542400, 339, 223.242, 
1786: 543200, 339, 237.168, 
1789: 544000, 340, 210.415, 
1792: 544800, 340, 213.048, 
1795: 545600, 341, 217.595, 
1797: 546400, 341, 227.423, 
1800: 547200, 342, 242.048, 
1803: 548000, 342, 244.989, 
1806: 548800, 343, 259.497, 
1809: 549600, 343, 257.429, 
1811: 550400, 344, 253.123, 
1815: 551200, 344, 242.428, 
1817: 552000, 345, 229.073, 
1819: 552800, 345, 212.609, 
1821: 553600, 346, 189.647, 
1823: 554400, 346, 164.133, 
1825: 555200, 347, 175.369, 
1827: 556000, 347, 163.132, 
1829: 556800, 348, 156.436, 
1831: 557600, 348, 156.641, 
1833: 558400, 349, 172.499, 
1836: 559200, 349, 168.690, 
1839: 560000, 350, 189.797, 
1841: 560800, 350, 201.353, 
1844: 561600, 351, 213.190, 
1847: 562400, 351, 187.596, 
1849: 563200, 352, 186.977, 
1851: 564000, 352, 176.277, 
1854: 564800, 353, 178.575, 
1858: 565600, 353, 208.491, 
1860: 566400, 354, 195.825, 
1862: 567200, 354, 194.640, 
1864: 568000, 355, 176.744, 
1867: 568800, 355, 187.242, 
1869: 569600, 356, 191.032, 
1871: 570400, 356, 198.827, 
1874: 571200, 357, 207.908, 
1876: 572000, 357, 190.162, 
1878: 572800, 358, 191.622, 
1880: 573600, 358, 188.660, 
1882: 574400, 359, 179.117, 
1886: 575200, 359, 184.864, 
1888: 576000, 360, 192.046, 
1891: 576800, 360, 215.815, 
1893: 577600, 361, 192.781, 
1896: 578400, 361, 197.831, 
1899: 579200, 362, 185.196, 
1902: 580000, 362, 195.289, 
1906: 580800, 363, 220.768, 
1909: 581600, 363, 244.091, 
1912: 582400, 364, 238.786, 
1915: 583200, 364, 239.607, 
1919: 584000, 365, 239.711, 
1922: 584800, 365, 248.509, 
1924: 585600, 366, 227.127, 
1927: 586400, 366, 210.384, 
1930: 587200, 367, 226.128, 
1933: 588000, 367, 238.838, 
1936: 588800, 368, 253.501, 
1939: 589600, 368, 244.178, 
1942: 590400, 369, 245.145, 
1944: 591200, 369, 253.851, 
1948: 592000, 370, 251.035, 
1950: 592800, 370, 248.000, 
1953: 593600, 371, 235.791, 
1956: 594400, 371, 229.944, 
1959: 595200, 372, 213.559, 
1961: 596000, 372, 213.506, 
1964: 596800, 373, 187.941, 
1967: 597600, 373, 195.437, 
1970: 598400, 374, 210.108, 
1973: 599200, 374, 212.515, 
1976: 600000, 375, 236.634, 
1978: 600800, 375, 239.878, 
1981: 601600, 376, 250.947, 
1983: 602400, 376, 242.318, 
1986: 603200, 377, 228.920, 
1989: 604000, 377, 228.932, 
1992: 604800, 378, 220.826, 
1995: 605600, 378, 232.345, 
1998: 606400, 379, 225.959, 
2000: 607200, 379, 219.429, 
2003: 608000, 380, 241.402, 
2006: 608800, 380, 225.003, 
2009: 609600, 381, 231.742, 
2012: 610400, 381, 242.000, 
2015: 611200, 382, 257.958, 
2018: 612000, 382, 261.108, 
2021: 612800, 383, 261.610, 
2024: 613600, 383, 263.933, 
2027: 614400, 384, 269.967, 
2030: 615200, 384, 246.918, 
2033: 616000, 385, 245.905, 
2037: 616800, 385, 210.975, 
2040: 617600, 386, 236.812, 
2042: 618400, 386, 228.839, 
2044: 619200, 387, 228.773, 
2046: 620000, 387, 227.885, 
2049: 620800, 388, 218.034, 
2052: 621600, 388, 212.846, 
2054: 622400, 389, 233.750, 
2058: 623200, 389, 248.784, 
2060: 624000, 390, 238.048, 
2063: 624800, 390, 235.444, 
2065: 625600, 391, 208.718, 
2068: 626400, 391, 175.538, 
2071: 627200, 392, 153.005, 
2073: 628000, 392, 162.305, 
2076: 628800, 393, 170.958, 
2079: 629600, 393, 205.228, 
2082: 630400, 394, 237.429, 
2084: 631200, 394, 235.548, 
2087: 632000, 395, 240.157, 
2090: 632800, 395, 247.235, 
2093: 633600, 396, 238.455, 
2096: 634400, 396, 247.968, 
2098: 635200, 397, 237.775, 
2101: 636000, 397, 229.320, 
2104: 636800, 398, 235.602, 
2107: 637600, 398, 234.042, 
2109: 638400, 399, 232.658, 
2112: 639200, 399, 223.953, 
2115: 640000, 400, 221.719, 
2118: 640800, 400, 230.956, 
2122: 641600, 401, 228.039, 
2124: 642400, 401, 231.961, 
2126: 643200, 402, 222.111, 
2129: 644000, 402, 219.483, 
2132: 644800, 403, 242.310, 
2135: 645600, 403, 252.602, 
